Assembly Accession,Assembly Name,Organism Name,Organism Infraspecific Names Strain,Assembly Level,Assembly Release Date,Assembly Stats Number of Scaffolds
GCA_016027375.1,ASM1602737v1,Clostridium perfringens,FDAARGOS_903,Complete Genome,2020-12-14,2
GCA_000007125.1,ASM712v1,Brucella melitensis bv. 1 str. 16M,16M,Complete Genome,2001-12-28,2
GCA_030297255.1,ASM3029725v1,Burkholderia pseudomallei,GTC3P0254T,Complete Genome,2023-05-16,2
GCA_022811565.1,ASM2281156v1,Paenibacillus polymyxa ATCC 842,ATCC 842,Complete Genome,2022-04-04,2
GCA_001941585.1,ASM194158v1,Legionella pneumophila,Philadelphia-1,Complete Genome,2017-01-10,1
GCA_000011325.1,ASM1132v1,Corynebacterium glutamicum ATCC 13032,ATCC 13032,Complete Genome,2004-02-18,1
GCA_900475625.1,45709_F01,Levilactobacillus brevis,NCTC13768,Complete Genome,2018-06-17,1
GCA_020736045.1,ASM2073604v1,Haemophilus influenzae,FDAARGOS_1560,Complete Genome,2021-11-03,1
GCA_000069185.1,ASM6918v1,Mycobacteroides abscessus ATCC 19977,ATCC 19977,Complete Genome,2008-03-01,2
GCA_019048385.1,ASM1904838v1,Pantoea agglomerans,FDAARGOS 1447,Complete Genome,2021-06-28,3
GCA_019048125.1,ASM1904812v1,Klebsiella aerogenes,FDAARGOS 1442,Complete Genome,2021-06-28,1
GCA_000832905.1,ASM83290v1,Heyndrickxia coagulans DSM 1 = ATCC 7050,ATCC 7050,Complete Genome,2015-02-05,1
GCA_002224265.1,ASM222426v1,Vibrio vulnificus NBRC 15645 = ATCC 27562,ATCC 27562,Complete Genome,2017-07-24,2
GCA_001888925.1,ASM188892v1,Lactobacillus delbrueckii subsp. jakobsenii ZN7a-9 = DSM 26046,DSM 26046,Complete Genome,2016-12-05,1
GCA_006094455.1,ASM609445v1,Morganella morganii subsp. morganii,ATCC 25830,Complete Genome,2019-06-06,1
GCA_000025985.1,ASM2598v1,Bacteroides fragilis NCTC 9343,NCTC 9343,Complete Genome,2005-03-03,2
GCA_000022965.1,ASM2296v1,Bifidobacterium animalis subsp. lactis DSM 10140,DSM 10140,Complete Genome,2009-06-19,1
GCA_000014445.1,ASM1444v1,Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293,ATCC 8293,Complete Genome,2006-10-13,2
GCA_000010505.1,ASM1050v1,Porphyromonas gingivalis ATCC 33277,ATCC 33277,Complete Genome,2008-05-20,1
GCA_016026635.1,ASM1602663v1,Staphylococcus pseudintermedius,FDAARGOS_930,Complete Genome,2020-12-14,1
GCA_006094395.1,ASM609439v1,Staphylococcus haemolyticus,ATCC 29970,Complete Genome,2019-06-06,3
GCA_002950395.1,ASM295039v1,Shigella sonnei,ATCC 29930,Complete Genome,2018-02-23,2
GCA_014131795.1,ASM1413179v1,Clostridium butyricum,DSM 10702,Complete Genome,2020-08-10,4
GCA_034298135.1,ASM3429813v1,Lactobacillus acidophilus,ATCC 4356,Complete Genome,2023-12-12,1
GCA_036689615.1,ASM3668961v1,Pseudomonas chlororaphis subsp. chlororaphis,ATCC 9446,Complete Genome,2024-04-05,1
GCA_014131755.1,ASM1413175v1,Bacteroides thetaiotaomicron,DSM 2079,Complete Genome,2020-08-10,2
GCA_028891345.1,ASM2889134v1,Xylella fastidiosa,ICMP 15197,Complete Genome,2023-03-01,2
GCA_001025175.1,ASM102517v1,Bifidobacterium breve DSM 20213 = JCM 1192,JCM 1192,Complete Genome,2015-03-24,1
GCA_006739385.1,ASM673938v1,Cutibacterium acnes subsp. acnes,NBRC 107605,Complete Genome,2019-06-11,1
GCA_900636985.1,45889_C01,Klebsiella oxytoca,NCTC13727,Complete Genome,2018-12-20,1
GCA_900475555.1,44257_B01,Micrococcus luteus NCTC 2665,NCTC 2665,Complete Genome,2018-06-17,1
GCA_019048105.1,ASM1904810v1,Providencia rettgeri,FDAARGOS 1450,Complete Genome,2021-06-28,3
GCA_016026695.1,ASM1602669v1,Lactococcus garvieae,FDAARGOS_929,Complete Genome,2020-12-14,2
GCA_000253175.1,ASM25317v1,Yersinia enterocolitica subsp. palearctica Y11,Y11,Complete Genome,2011-01-20,2
GCA_000014425.1,ASM1442v1,Lactobacillus gasseri ATCC 33323 = JCM 1131,ATCC 33323,Complete Genome,2006-10-13,1
GCA_900560965.1,PPRCHA0,Pseudomonas protegens CHA0,CHA0,Complete Genome,2019-03-14,1
GCA_001729805.1,ASM172980v1,Enterobacter roggenkampii,DSM 16690,Complete Genome,2016-09-16,2
GCA_900476005.1,51438_H01,Aeromonas caviae,NCTC12244,Complete Genome,2018-06-17,1
GCA_003290385.1,ASM329038v1,Actinobacillus pleuropneumoniae,S4074,Complete Genome,2018-07-08,1
GCA_000146165.2,ASM14616v2,Shewanella oneidensis MR-1,MR-1,Complete Genome,2012-11-02,2
GCA_000829055.1,ASM82905v1,Lacticaseibacillus casei DSM 20011 = JCM 1134 = ATCC 393,ATCC 393,Complete Genome,2013-08-14,3
GCA_001750725.1,ASM175072v1,Enterobacter ludwigii,EN-119,Complete Genome,2016-10-03,2
GCA_000183155.1,ASM18315v1,Riemerella anatipestifer ATCC 11845 = DSM 15868,DSM 15868,Complete Genome,2010-11-23,1
GCA_022984195.1,ASM2298419v1,Synechococcus elongatus PCC 6301,PCC 6301,Complete Genome,2022-04-14,3
GCA_002023665.2,ASM202366v2,Elizabethkingia anophelis R26,R26,Complete Genome,2017-09-18,1
GCA_001457455.1,NCTC11397,Corynebacterium diphtheriae,NCTC11397,Complete Genome,2015-03-22,1
GCA_000091545.1,ASM9154v1,Thermus thermophilus HB8,HB8,Complete Genome,2004-11-15,3
GCA_001642675.1,ASM164267v1,Bradyrhizobium diazoefficiens USDA 110,USDA 110,Complete Genome,2016-05-12,1
GCA_003641185.1,ASM364118v1,Lactiplantibacillus pentosus,DSM 20314,Complete Genome,2018-10-15,2
GCA_018223745.1,ASM1822374v1,Clostridium beijerinckii,DSM 791,Complete Genome,2021-05-02,2
GCA_003019295.1,ASM301929v1,Fusobacterium nucleatum subsp. nucleatum ATCC 25586,ATCC 25586,Complete Genome,2018-03-26,1
GCA_900474615.1,40295_D02,Mammaliicoccus sciuri,NCTC12103,Complete Genome,2018-06-18,1
GCA_000025685.1,ASM2568v1,Haloferax volcanii DS2,DS2,Complete Genome,2010-03-23,5
GCA_000183385.1,ASM18338v1,Mycoplasmopsis bovis PG45,PG45,Complete Genome,2010-11-30,1
GCA_900637475.1,51108_B01,Yersinia pseudotuberculosis,NCTC10275,Complete Genome,2018-12-20,1
GCA_000083545.1,ASM8354v1,Methylorubrum extorquens DM4,DM4,Complete Genome,2009-07-17,3
GCA_000007505.1,ASM750v1,Brucella suis 1330,1330,Complete Genome,2004-10-13,2
GCA_000007365.1,ASM736v1,Buchnera aphidicola str. Sg (Schizaphis graminum),Sg (ex Schizaphis graminum),Complete Genome,2002-07-02,1
GCA_000012365.1,ASM1236v1,Burkholderia thailandensis E264,E264; ATCC 700388,Complete Genome,2005-12-15,2
GCA_004101845.1,ASM410184v1,Latilactobacillus curvatus JCM 1096 = DSM 20019,DSM 20019,Complete Genome,2019-01-22,2
GCA_024925465.1,ASM2492546v1,Ralstonia pseudosolanacearum,LMG 9673,Complete Genome,2022-09-05,2
GCA_002706795.1,ASM270679v1,Brevibacillus laterosporus DSM 25,DSM 25,Complete Genome,2017-10-25,1
GCA_000204255.1,ASM20425v1,Chlamydia psittaci 6BC,6BC,Complete Genome,2011-04-14,2
GCA_004799605.1,ASM479960v1,Halobacterium salinarum,91-R6,Complete Genome,2019-04-18,3
GCA_000015865.1,ASM1586v1,Acetivibrio thermocellus ATCC 27405,ATCC 27405,Complete Genome,2007-02-14,1
GCA_000011905.1,ASM1190v1,Dehalococcoides mccartyi 195,195,Complete Genome,2005-01-07,1
GCA_900637025.1,46338_H01,Streptococcus oralis ATCC 35037,NCTC 11427,Complete Genome,2018-12-20,1
GCA_034479305.1,ASM3447930v1,Shouchella clausii,ATCC 700160,Complete Genome,2023-12-19,1
GCA_001558415.2,ASM155841v2,Vibrio fluvialis,ATCC 33809,Complete Genome,2018-01-29,2
GCA_002155265.1,ASM215526v1,Corynebacterium pseudotuberculosis,ATCC 19410,Complete Genome,2017-05-22,1
GCA_900636475.1,42197_F01,Streptococcus anginosus,NCTC10713,Complete Genome,2018-12-20,1
GCA_000007985.2,ASM798v2,Geobacter sulfurreducens PCA,PCA,Complete Genome,2012-07-31,1
GCA_000236925.1,ASM23692v1,Staphylococcus argenteus,MSHR1132,Complete Genome,2011-11-10,2
GCA_009183365.2,ASM918336v2,Shewanella algae,CECT-5071,Complete Genome,2021-03-24,1
GCA_900660465.1,50648_A01-3,Mycoplasmoides pneumoniae,NCTC10119,Complete Genome,2019-01-29,2
GCA_002813755.1,ASM281375v1,Enterococcus mundtii,DSM 4838,Complete Genome,2017-12-07,2
GCA_040739365.1,DSM6717,Staphylococcus capitis subsp. urealyticus,DSM 6717,Complete Genome,2024-07-18,3
GCA_020097475.1,ASM2009747v1,Escherichia fergusonii,FDAARGOS_1499,Complete Genome,2021-09-23,2
GCA_000007805.1,ASM780v1,Pseudomonas syringae pv. tomato str. DC3000,DC3000,Complete Genome,2003-03-05,3
GCA_021216655.1,ASM2121665v1,Clavibacter michiganensis,LMG7333,Complete Genome,2021-12-16,3
GCA_000010125.1,ASM1012v1,Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292,ATCC 15305,Complete Genome,2005-08-12,3
GCA_900475505.1,42925_G01,Streptococcus sanguinis,NCTC7863,Complete Genome,2018-06-17,1
GCA_000092025.1,ASM9202v1,Agrobacterium fabrum str. C58,C58,Complete Genome,2007-11-05,4
GCA_000012825.1,ASM1282v1,Phocaeicola vulgatus ATCC 8482,ATCC 8482,Complete Genome,2007-06-27,1
GCA_000227465.1,ASM22746v1,Bacillus spizizenii TU-B-10,TU-B-10,Complete Genome,2011-10-05,1
GCA_000219215.1,ASM21921v1,Cupriavidus necator N-1,N-1,Complete Genome,2011-06-24,4
GCA_000010425.1,ASM1042v1,Bifidobacterium adolescentis ATCC 15703,ATCC 15703,Complete Genome,2006-12-05,1
GCA_004063735.1,ASM406373v1,Paracoccus denitrificans,ATCC 19367,Complete Genome,2019-01-20,3
GCA_020546685.1,ASM2054668v1,Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539,ATCC 13939,Complete Genome,2021-10-25,4
GCA_002982115.1,ASM298211v1,Lysinibacillus sphaericus,DSM 28,Complete Genome,2018-03-08,1
GCA_000021485.1,ASM2148v1,Acidithiobacillus ferrooxidans ATCC 23270,ATCC 23270,Complete Genome,2008-12-19,1
GCA_000697965.2,ASM69796v2,Ensifer adhaerens,Casida A,Complete Genome,2016-06-16,3
GCA_900476085.1,50569_G01,Mycoplasmoides gallisepticum,NCTC10115,Complete Genome,2018-08-19,1
GCA_001456255.1,ASM145625v1,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,ATCC 14048,Complete Genome,2015-12-03,2
GCA_018389705.1,ASM1838970v1,Mycoplasma mycoides subsp. capri,PG3,Complete Genome,2021-05-17,1
GCA_005519465.1,ASM551946v1,Streptomyces clavuligerus,ATCC 27064,Complete Genome,2019-05-20,2
GCA_020099335.1,ASM2009933v1,Citrobacter amalonaticus,FDAARGOS_1489,Complete Genome,2021-09-23,3
GCA_900637055.1,46837_E02,Brevibacillus brevis,NCTC2611,Complete Genome,2018-12-20,1
GCA_000590865.3,ASM59086v3,Candidatus Liberibacter asiaticus,A4,Complete Genome,2019-11-05,1
GCA_002945325.1,ASM294532v1,Methanococcus maripaludis,DSM 2067,Complete Genome,2018-02-12,1
GCA_000012285.1,ASM1228v1,Sulfolobus acidocaldarius DSM 639,DSM 639,Complete Genome,2005-07-05,1
GCA_001025215.1,ASM102521v1,Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505,JCM 1200,Complete Genome,2015-03-24,1
GCA_001042655.1,ASM104265v1,Gardnerella vaginalis ATCC 14018 = JCM 11026,JCM 11026,Complete Genome,2015-02-17,1
GCA_017724035.1,ASM1772403v1,Xanthomonas euvesicatoria pv. alfalfae,CFBP3836,Complete Genome,2021-04-03,2
GCA_000960995.1,ASM96099v1,Burkholderia glumae LMG 2196 = ATCC 33617,ATCC 33617,Complete Genome,2015-03-24,4
GCA_019916025.1,ASM1991602v1,Paraclostridium bifermentans,DSM 14991,Complete Genome,2021-09-09,5
GCA_028596125.1,ASM2859612v1,Listeria innocua,ATCC 33090,Complete Genome,2023-02-12,2
GCA_019046945.1,ASM1904694v1,Streptococcus gordonii,FDAARGOS 1454,Complete Genome,2021-06-28,1
GCA_000014025.1,ASM1402v1,Aliarcobacter butzleri RM4018,RM4018,Complete Genome,2007-09-27,1
GCA_004792415.1,ASM479241v1,Pantoea vagans,LMG 24199,Complete Genome,2019-04-14,3
GCA_001006005.1,ASM100600v1,Serratia fonticola,DSM 4576,Complete Genome,2015-05-11,1
GCA_000973705.1,ASM97370v1,Clostridium sporogenes,NCIMB 10696,Complete Genome,2015-04-20,1
GCA_016406325.1,ASM1640632v1,Shewanella putrefaciens,ATCC 8071,Complete Genome,2020-12-27,1
GCA_003049785.1,ASM304978v1,Dickeya dadantii,DSM 18020,Complete Genome,2018-04-12,1
GCA_000009765.2,ASM976v2,Streptomyces avermitilis MA-4680 = NBRC 14893,MA-4680,Complete Genome,2016-03-24,2
GCA_028885435.1,ASM2888543v1,Mesomycoplasma ovipneumoniae ATCC 29419,Y98,Complete Genome,2023-02-28,1
GCA_000422085.1,ASM42208v1,Serratia liquefaciens ATCC 27592,ATCC 27592,Complete Genome,2013-07-11,2
GCA_001632805.1,ASM163280v1,Mycobacteroides chelonae CCUG 47445,CCUG 47445,Complete Genome,2016-04-27,1
GCA_000012765.1,ASM1276v1,Mycoplasma capricolum subsp. capricolum ATCC 27343,ATCC 27343,Complete Genome,2005-12-06,1
GCA_900475375.1,42685_B01,Elizabethkingia meningoseptica,NCTC10016,Complete Genome,2018-06-17,1
GCA_001314995.1,ASM131499v1,Bacteroides ovatus,ATCC 8483,Complete Genome,2015-10-15,1
GCA_000062885.1,ASM6288v1,Saccharopolyspora erythraea NRRL 2338,NRRL 2338,Complete Genome,2007-03-21,1
GCA_000157895.3,ASM15789v2,Mycobacterium kansasii ATCC 12478,ATCC 12478,Complete Genome,2013-11-01,2
GCA_021278985.1,ASM2127898v1,Citrobacter rodentium NBRC 105723 = DSM 16636,DSM 16636,Complete Genome,2021-12-23,2
GCA_003367075.2,ASM336707v2,Cylindrospermopsis raciborskii Cr2010,Cr2010,Complete Genome,2022-01-24,1
GCA_000018525.1,ASM1852v1,Brucella canis ATCC 23365,ATCC 23365,Complete Genome,2007-11-29,2
GCA_900475975.1,46931_F01,Streptococcus intermedius,NCTC11324,Complete Genome,2018-06-17,1
GCA_000007345.1,ASM734v1,Methanosarcina acetivorans C2A,C2A,Complete Genome,2002-04-03,1
GCA_003343245.1,ASM334324v1,Photorhabdus laumondii subsp. laumondii,TT01,Complete Genome,2018-07-26,1
GCA_008639165.1,ASM863916v1,Streptomyces venezuelae ATCC 10712,ATCC 10712,Complete Genome,2019-09-23,1
GCA_000196175.1,ASM19617v1,Bdellovibrio bacteriovorus HD100,HD100,Complete Genome,2004-02-10,1
GCA_009831375.1,ASM983137v1,Mediterraneibacter gnavus ATCC 29149,ATCC 29149,Complete Genome,2020-01-06,1
GCA_000016525.1,ASM1652v1,Methanobrevibacter smithii ATCC 35061,ATCC 35061; PS; DSMZ 861,Complete Genome,2007-06-04,1
GCA_023278185.1,ASM2327818v1,Bradyrhizobium elkanii USDA 76,USDA 76,Complete Genome,2022-05-09,2
GCA_002243645.1,ASM224364v1,Peribacillus simplex NBRC 15720 = DSM 1321,DSM 1321,Complete Genome,2017-08-08,1
GCA_000969765.1,ASM96976v1,Mycoplasmopsis synoviae ATCC 25204,WVU1853T,Complete Genome,2015-04-07,1
GCA_002355775.1,ASM235577v1,Mycobacterium ulcerans subsp. shinshuense,ATCC 33728,Complete Genome,2016-08-04,2
GCA_000970205.1,ASM97020v1,Methanosarcina mazei S-6,S-6,Complete Genome,2015-04-07,1
GCA_900324475.1,EB-247,Enterobacter bugandensis,,Complete Genome,2018-04-04,1
GCA_001028665.1,ASM102866v1,Burkholderia pyrrocinia,DSM 10685,Complete Genome,2015-06-12,4
GCA_900475595.1,44343_G01,Streptococcus uberis,NCTC3858,Complete Genome,2018-06-17,1
GCA_033956065.1,ASM3395606v1,Burkholderia mallei,ATCC 23344,Complete Genome,2023-11-27,2
GCA_003584685.1,ASM358468v1,Lactobacillus paragasseri,JCM 5343,Complete Genome,2018-06-21,1
GCA_001700985.1,ASM170098v1,Parageobacillus thermoglucosidasius,Wild Type,Complete Genome,2016-08-09,3
GCA_018314255.1,ASM1831425v1,Lentilactobacillus buchneri,ATCC 4005,Complete Genome,2021-05-10,2
GCA_000196795.1,ASM19679v1,Acinetobacter oleivorans DR1,DR1,Complete Genome,2010-06-21,1
GCA_000009965.1,ASM996v1,Thermococcus kodakarensis KOD1,KOD1,Complete Genome,2005-01-05,1
GCA_008245085.1,ASM824508v1,Pyrococcus furiosus DSM 3638,DSM 3638,Complete Genome,2019-09-03,1
GCA_000007205.1,ASM720v1,Chlamydia pneumoniae TW-183,TW-183,Complete Genome,2003-07-25,1
GCA_001040945.1,ASM104094v1,Herbaspirillum seropedicae,Z67,Complete Genome,2015-06-26,1
GCA_019930925.1,ASM1993092v1,Bartonella henselae,FDAARGOS_1462,Complete Genome,2021-09-12,1
GCA_000020025.1,ASM2002v1,Nostoc punctiforme PCC 73102,ATCC 29133; PCC 73102,Complete Genome,2008-04-24,6
GCA_000196875.2,ASM19687v2,Halomonas elongata DSM 2581,type strain: DSM 2581,Complete Genome,2017-01-31,1
GCA_000019725.1,ASM1972v1,Methylobacterium radiotolerans JCM 2831,JCM 2831,Complete Genome,2008-03-21,9
GCA_000164675.2,ASM16467v2,Streptococcus parasanguinis ATCC 15912,ATCC 15912,Complete Genome,2011-06-10,1
GCA_000008205.1,ASM820v1,Mesomycoplasma hyopneumoniae J,J,Complete Genome,2005-08-05,1
GCA_002812485.1,ASM281248v1,Dickeya fangzhongdai,DSM 101947,Complete Genome,2017-12-06,2
GCA_001610955.1,ASM161095v1,Geobacillus thermoleovorans,KCTC 3570,Complete Genome,2016-04-05,2
GCA_016028795.1,ASM1602879v1,Macrococcoides caseolyticum,FDAARGOS_868,Complete Genome,2020-12-14,2
GCA_016127215.1,ASM1612721v1,Haemophilus parainfluenzae,FDAARGOS_1000,Complete Genome,2020-12-20,1
GCA_900186885.1,48903_D01,Veillonella parvula,NCTC11810,Complete Genome,2017-08-15,1
GCA_016725005.1,ASM1672500v1,Streptococcus constellatus,FDAARGOS_1156,Complete Genome,2021-01-20,1
GCA_000007085.1,ASM708v1,Caldanaerobacter subterraneus subsp. tengcongensis MB4,MB4,Complete Genome,2002-05-14,1
GCA_001484725.1,ASM148472v1,Clostridium autoethanogenum DSM 10061,DSM 10061,Complete Genome,2016-01-04,1
GCA_000763515.1,ASM76351v1,Listeria ivanovii subsp. ivanovii,WSLC 3010,Complete Genome,2014-10-06,1
GCA_022179545.1,ASM2217954v1,Mycolicibacterium fortuitum subsp. fortuitum,JCM 6387,Complete Genome,2022-01-27,1
GCA_001644705.1,ASM164470v1,Dickeya solani IPO 2222,IPO 2222,Complete Genome,2016-05-16,1
GCA_000187935.1,ASM18793v2,Streptococcus parauberis NCFD 2020,NCFD 2020,Complete Genome,2011-03-25,1
GCA_001953955.1,ASM195395v1,Prevotella intermedia ATCC 25611 = DSM 20706,ATCC 25611,Complete Genome,2017-01-18,2
GCA_016026735.1,ASM1602673v1,Serratia rubidaea,FDAARGOS_926,Complete Genome,2020-12-14,1
GCA_000961515.1,ASM96151v1,Paraburkholderia fungorum,ATCC BAA-463,Complete Genome,2015-03-24,4
GCA_001298465.1,ASM129846v1,Campylobacter concisus,ATCC 33237,Complete Genome,2015-09-24,1
GCA_001742145.1,ASM174214v1,Pectobacterium parmentieri,RNS 08-42-1A,Complete Genome,2016-09-22,1
GCA_000821185.2,ASM82118v2,Serratia symbiotica,CWBI-2.3,Complete Genome,2020-07-14,3
GCA_900476065.1,50465_F02,Mesomycoplasma hyorhinis,NCTC10130,Complete Genome,2018-08-19,1
GCA_000055785.1,ASM5578v1,Chromohalobacter israelensis DSM 3043,DSM 3043,Complete Genome,2006-04-11,1
GCA_009662475.1,ASM966247v1,Acidithiobacillus thiooxidans ATCC 19377,ATCC 19377,Complete Genome,2019-11-14,1
GCA_002706665.1,ASM270666v1,Bifidobacterium pseudolongum subsp. globosum DSM 20092,DSM 20092,Complete Genome,2017-10-25,1
GCA_000018785.1,ASM1878v1,Acholeplasma laidlawii PG-8A,PG-8A,Complete Genome,2007-12-07,1
GCA_000007025.1,ASM702v1,Rickettsia conorii str. Malish 7,Malish 7,Complete Genome,2002-11-25,1
GCA_008704425.1,ASM870442v1,Streptomyces fradiae ATCC 10745 = DSM 40063,ATCC 10745,Complete Genome,2019-09-26,1
GCA_000010265.1,ASM1026v1,Clostridium kluyveri NBRC 12016,NBRC 12016,Complete Genome,2009-01-06,2
GCA_000959445.1,ASM95944v1,Burkholderia vietnamiensis LMG 10929,LMG 10929,Complete Genome,2015-03-20,4
GCA_000019345.1,ASM1934v1,Ureaplasma parvum serovar 3 str. ATCC 27815,ATCC 27815,Complete Genome,2008-02-26,1
GCA_021654455.1,ASM2165445v1,Streptococcus parasuis,SUT-286,Complete Genome,2021-12-28,1
GCA_014779555.2,ASM1477955v2,Lysobacter capsici,VKM B-2533,Complete Genome,2022-04-14,1
GCA_012317185.1,ASM1231718v1,[Clostridium] innocuum,ATCC 14501,Complete Genome,2020-04-15,1
GCA_016127195.1,ASM1612719v1,Aeromonas jandaei,FDAARGOS_986,Complete Genome,2020-12-20,1
GCA_900636575.1,42912_C01,Streptococcus canis,NCTC12191,Complete Genome,2018-12-20,1
GCA_008801925.2,ASM880192v2,Cupriavidus basilensis,DSM 11853,Complete Genome,2020-10-29,8
GCA_000230655.2,ASM23065v3,Thermotoga maritima MSB8,MSB8,Complete Genome,2013-12-20,1
GCA_000092045.1,ASM9204v1,Rhizobium etli CFN 42,CFN 42,Complete Genome,2006-03-06,7
GCA_000223905.1,ASM22390v1,Haloarcula hispanica ATCC 33960,CGMCC 1.2049,Complete Genome,2011-08-17,3
GCA_000026105.1,ASM2610v1,Pseudomonas entomophila L48,L48,Complete Genome,2006-05-10,1
GCA_000179635.2,ASM17963v2,Ruminococcus albus 7 = DSM 20455,7,Complete Genome,2010-12-23,5
GCA_002706745.1,ASM270674v1,Companilactobacillus farciminis KCTC 3681 = DSM 20184,DSM 20184,Complete Genome,2017-10-25,1
GCA_000021925.1,ASM2192v1,Desulfitobacterium hafniense DCB-2,DCB-2,Complete Genome,2009-01-05,1
GCA_000970025.1,ASM97002v1,Methanosarcina barkeri MS,MS,Complete Genome,2015-04-07,2
GCA_004295125.1,ASM429512v1,[Clostridium] scindens ATCC 35704,ATCC 35704,Complete Genome,2019-02-25,1
GCA_000959545.1,ASM95954v1,Burkholderia ambifaria AMMD,AMMD,Complete Genome,2015-03-20,4
GCA_001042595.1,ASM104259v1,Bifidobacterium dentium JCM 1195 = DSM 20436,JCM 1195,Complete Genome,2015-02-17,1
GCA_003010495.1,ASM301049v1,Megasphaera elsdenii DSM 20460,ATCC 25940,Complete Genome,2018-03-19,1
GCA_000300455.3,ASM30045v4,Kosakonia sacchari SP1,SP1,Complete Genome,2016-07-11,1
GCA_000252995.1,ASM25299v1,Salmonella bongori NCTC 12419,NCTC 12419,Complete Genome,2011-07-06,1
GCA_001277215.2,ASM127721v2,Cronobacter malonaticus LMG 23826,LMG 23826,Complete Genome,2016-01-13,3
GCA_000145615.1,ASM14561v1,Thermoanaerobacterium thermosaccharolyticum DSM 571,DSM 571,Complete Genome,2010-08-13,1
GCA_000023145.1,ASM2314v1,Corynebacterium kroppenstedtii DSM 44385,DSM 44385,Complete Genome,2009-05-19,1
GCA_000265465.1,ASM26546v1,Ornithobacterium rhinotracheale DSM 15997,DSM 15997,Complete Genome,2012-06-11,1
GCA_040267515.1,UMSP_Dlac_medaka1,Delftia lacustris,DSM 21246,Complete Genome,2024-06-23,2
GCA_900637265.1,50432_C01,Achromobacter insolitus,NCTC13520,Complete Genome,2018-12-20,1
GCA_000807675.2,ASM80767v2,Eubacterium limosum,ATCC 8486,Complete Genome,2017-04-03,1
GCA_016028515.1,ASM1602851v1,Stutzerimonas frequens,FDAARGOS_877,Complete Genome,2020-12-14,1
GCA_031348265.1,ASM3134826v1,Streptomyces collinus,CGMCC 4.1623,Complete Genome,2023-09-12,1
GCA_000284295.1,ASM28429v1,Actinoplanes missouriensis 431,431,Complete Genome,2012-03-28,1
GCA_013267395.1,ASM1326739v1,Achromobacter denitrificans,FDAARGOS_786,Complete Genome,2020-06-04,1
GCA_040529065.1,ASM4052906v1,Xanthomonas sacchari,CFBP4641,Complete Genome,2024-07-07,1
GCA_019047465.1,ASM1904746v1,Lelliottia amnigena,FDAARGOS 1444,Complete Genome,2021-06-28,1
GCA_016027095.1,ASM1602709v1,Sphingomonas paucimobilis,FDAARGOS_908,Complete Genome,2020-12-14,4
GCA_015074805.1,ASM1507480v1,Sphingobium fuliginis,KK22,Complete Genome,2020-10-29,4
